PopName,Area,Sex,Year,YearReg,RefCode,Access,Births,NoteCode1,NoteCode2,NoteCode3,LDB
AUS,1,f,1860,1860,32,O,23262,10,8,.,1
AUS,1,m,1860,1860,32,O,24464,10,8,.,1
AUS,1,f,1861,1861,32,O,23806,10,8,.,1
AUS,1,m,1861,1861,32,O,25102,10,8,.,1
AUS,1,f,1862,1862,32,O,24896,10,8,.,1
AUS,1,m,1862,1862,32,O,26483,10,8,.,1
AUS,1,f,1863,1863,32,O,25134,10,8,.,1
AUS,1,m,1863,1863,32,O,26233,10,8,.,1
AUS,1,f,1864,1864,32,O,26838,10,8,.,1
AUS,1,m,1864,1864,32,O,28608,10,8,.,1
AUS,1,f,1865,1865,32,O,27986,10,8,.,1
AUS,1,m,1865,1865,32,O,29175,10,8,.,1
AUS,1,f,1866,1866,32,O,27457,10,8,.,1
AUS,1,m,1866,1866,32,O,28927,10,8,.,1
AUS,1,f,1867,1867,32,O,28922,10,8,.,1
AUS,1,m,1867,1867,32,O,30245,10,8,.,1
AUS,1,f,1868,1868,32,O,29896,10,8,.,1
AUS,1,m,1868,1868,32,O,31269,10,8,.,1
AUS,1,f,1869,1869,32,O,29527,10,8,.,1
AUS,1,m,1869,1869,32,O,30996,10,8,.,1
AUS,1,f,1870,1870,32,O,30437,10,8,.,1
AUS,1,m,1870,1870,32,O,32195,10,8,.,1
AUS,1,f,1871,1871,32,O,30921,10,8,.,1
AUS,1,m,1871,1871,32,O,32704,10,8,.,1
AUS,1,f,1872,1872,32,O,31589,10,8,.,1
AUS,1,m,1872,1872,32,O,32233,10,8,.,1
AUS,1,f,1873,1873,32,O,32561,10,8,.,1
AUS,1,m,1873,1873,32,O,33667,10,8,.,1
AUS,1,f,1874,1874,32,O,32809,10,8,.,1
AUS,1,m,1874,1874,32,O,34221,10,8,.,1
AUS,1,f,1875,1875,32,O,32970,10,8,.,1
AUS,1,m,1875,1875,32,O,34257,10,8,.,1
AUS,1,f,1876,1876,32,O,33903,10,8,.,1
AUS,1,m,1876,1876,32,O,35358,10,8,.,1
AUS,1,f,1877,1877,32,O,34041,10,8,.,1
AUS,1,m,1877,1877,32,O,35752,10,8,.,1
AUS,1,f,1878,1878,32,O,35321,10,8,.,1
AUS,1,m,1878,1878,32,O,37640,10,8,.,1
AUS,1,f,1879,1879,32,O,37203,10,8,.,1
AUS,1,m,1879,1879,32,O,38882,10,8,.,1
AUS,1,f,1880,1880,32,O,37757,10,8,.,1
AUS,1,m,1880,1880,32,O,39683,10,8,.,1
AUS,1,f,1881,1881,32,O,38884,10,8,.,1
AUS,1,m,1881,1881,32,O,41120,10,8,.,1
AUS,1,f,1882,1882,32,O,39600,10,8,.,1
AUS,1,m,1882,1882,32,O,41343,10,8,.,1
AUS,1,f,1883,1883,32,O,41533,10,8,.,1
AUS,1,m,1883,1883,32,O,43669,10,8,.,1
AUS,1,f,1884,1884,32,O,44392,10,8,.,1
AUS,1,m,1884,1884,32,O,46602,10,8,.,1
AUS,1,f,1885,1885,32,O,46210,10,8,.,1
AUS,1,m,1885,1885,32,O,48363,10,8,.,1
AUS,1,f,1886,1886,32,O,47227,10,8,.,1
AUS,1,m,1886,1886,32,O,49733,10,8,.,1
AUS,1,f,1887,1887,32,O,49309,10,8,.,1
AUS,1,m,1887,1887,32,O,51607,10,8,.,1
AUS,1,f,1888,1888,32,O,50888,10,8,.,1
AUS,1,m,1888,1888,32,O,53192,10,8,.,1
AUS,1,f,1889,1889,32,O,50678,10,8,.,1
AUS,1,m,1889,1889,32,O,54046,10,8,.,1
AUS,1,f,1890,1890,32,O,53384,10,8,.,1
AUS,1,m,1890,1890,32,O,55299,10,8,.,1
AUS,1,f,1891,1891,32,O,53758,10,8,.,1
AUS,1,m,1891,1891,32,O,56429,10,8,.,1
AUS,1,f,1892,1892,32,O,53699,10,8,.,1
AUS,1,m,1892,1892,32,O,56459,10,8,.,1
