Scotland, Life tables (cohort 5x10), Females	Last modified: 10 Jul 2020;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1855-1859        0      0.11744  0.10868  0.31  100000   10868   92546  4471148  44.71
1855-1859      1-4      0.03742  0.13655  1.43   89132   12171  325272  4378602  49.13
1855-1859      5-9      0.00939  0.04568  2.01   76961    3515  374276  4053330  52.67
1855-1859     10-14     0.00541  0.02672  2.59   73445    1962  362506  3679054  50.09
1855-1859     15-19     0.00723  0.03553  2.57   71483    2540  351254  3316548  46.40
1855-1859     20-24     0.00788  0.03866  2.51   68943    2666  338086  2965294  43.01
1855-1859     25-29     0.00869  0.04252  2.49   66277    2818  324319  2627208  39.64
1855-1859     30-34     0.00897  0.04390  2.54   63459    2786  310435  2302889  36.29
1855-1859     35-39     0.00981  0.04788  2.50   60673    2905  296095  1992454  32.84
1855-1859     40-44     0.01058  0.05153  2.51   57769    2977  281443  1696359  29.36
1855-1859     45-49     0.01234  0.05992  2.58   54792    3283  266005  1414916  25.82
1855-1859     50-54     0.01554  0.07485  2.55   51509    3855  248101  1148911  22.31
1855-1859     55-59     0.02041  0.09725  2.58   47654    4635  227045   900810  18.90
1855-1859     60-64     0.02737  0.12828  2.56   43019    5519  201630   673766  15.66
1855-1859     65-69     0.03799  0.17408  2.60   37500    6528  171831   472135  12.59
1855-1859     70-74     0.06168  0.26783  2.54   30972    8295  134490   300304   9.70
1855-1859     75-79     0.10087  0.40578  2.59   22677    9202   91229   165814   7.31
1855-1859     80-84     0.14704  0.53043  2.37   13475    7148   48610    74584   5.53
1855-1859     85-89     0.21553  0.67462  2.23    6328    4269   19806    25974   4.10
1855-1859     90-94     0.31337  0.80782  2.00    2059    1663    5307     6168   3.00
1855-1859     95-99     0.45040  0.90510  1.70     396     358     795      861   2.18
1855-1859    100-104    0.56356  0.98259  1.69      38      37      65       66   1.75
1855-1859    105-109    1.68045  1.00000  0.60       1       1       0        0   0.60
1855-1859    110+             .        .    .       0       0       0        0      .
1860-1869        0      0.12208  0.11265  0.31  100000   11265   92274  4573440  45.73
1860-1869      1-4      0.03681  0.13443  1.41   88735   11929  324037  4481166  50.50
1860-1869      5-9      0.00932  0.04535  2.03   76807    3483  373675  4157129  54.12
1860-1869     10-14     0.00505  0.02496  2.50   73324    1830  362045  3783454  51.60
1860-1869     15-19     0.00652  0.03208  2.58   71494    2293  351926  3421409  47.86
1860-1869     20-24     0.00725  0.03560  2.51   69201    2463  339879  3069483  44.36
1860-1869     25-29     0.00780  0.03826  2.51   66738    2553  327338  2729604  40.90
1860-1869     30-34     0.00814  0.03988  2.51   64185    2559  314562  2402266  37.43
1860-1869     35-39     0.00907  0.04434  2.52   61625    2732  301346  2087704  33.88
1860-1869     40-44     0.00931  0.04550  2.51   58893    2679  287802  1786359  30.33
1860-1869     45-49     0.01086  0.05289  2.56   56214    2973  273821  1498557  26.66
1860-1869     50-54     0.01381  0.06681  2.57   53240    3557  257550  1224735  23.00
1860-1869     55-59     0.01818  0.08710  2.60   49684    4327  238014   967185  19.47
1860-1869     60-64     0.02535  0.11942  2.58   45356    5416  213671   729171  16.08
1860-1869     65-69     0.03748  0.17213  2.63   39940    6875  183417   515500  12.91
1860-1869     70-74     0.06036  0.26279  2.54   33065    8689  143948   332083  10.04
1860-1869     75-79     0.08900  0.36377  2.49   24376    8867   99635   188135   7.72
1860-1869     80-84     0.13959  0.51253  2.41   15509    7949   56942    88500   5.71
1860-1869     85-89     0.21179  0.66809  2.24    7560    5051   23849    31558   4.17
1860-1869     90-94     0.30847  0.80390  2.02    2509    2017    6539     7709   3.07
1860-1869     95-99     0.40628  0.87579  1.75     492     431    1061     1170   2.38
1860-1869    100-104    0.55848  0.96538  1.61      61      59     106      109   1.79
1860-1869    105-109    0.57048  1.00000  1.75       2       2       4        4   1.75
1860-1869    110+             .        .    .       0       0       0        0      .
1870-1879        0      0.12226  0.11280  0.31  100000   11280   92263  4894940  48.95
1870-1879      1-4      0.03140  0.11601  1.36   88720   10292  327750  4802677  54.13
1870-1879      5-9      0.00720  0.03526  2.08   78428    2765  384078  4474928  57.06
1870-1879     10-14     0.00426  0.02110  2.52   75663    1596  374353  4090849  54.07
1870-1879     15-19     0.00548  0.02706  2.57   74066    2005  365466  3716496  50.18
1870-1879     20-24     0.00592  0.02916  2.53   72062    2101  355108  3351030  46.50
1870-1879     25-29     0.00649  0.03192  2.51   69960    2233  344251  2995921  42.82
1870-1879     30-34     0.00671  0.03301  2.52   67727    2236  333081  2651670  39.15
1870-1879     35-39     0.00752  0.03690  2.53   65492    2416  321480  2318589  35.40
1870-1879     40-44     0.00798  0.03912  2.50   63075    2467  309220  1997110  31.66
1870-1879     45-49     0.00907  0.04438  2.56   60608    2690  296478  1687890  27.85
1870-1879     50-54     0.01164  0.05662  2.60   57918    3279  281720  1391411  24.02
1870-1879     55-59     0.01605  0.07730  2.60   54639    4223  263077  1109692  20.31
1870-1879     60-64     0.02319  0.10989  2.61   50415    5540  238856   846615  16.79
1870-1879     65-69     0.03393  0.15683  2.59   44875    7038  207435   607759  13.54
1870-1879     70-74     0.05206  0.23131  2.59   37838    8752  168106   400324  10.58
1870-1879     75-79     0.08609  0.35494  2.53   29085   10324  119919   232219   7.98
1870-1879     80-84     0.13349  0.49620  2.41   18762    9310   69738   112299   5.99
1870-1879     85-89     0.19454  0.63445  2.26    9452    5997   30826    42562   4.50
